,Zone,Year,PRECIP,TMPMAX,TMPMIN,RELHUM,WINDLY,SUNHRS,Irrg_Yes,Irrg_No,Seed_Improved,Seed_Not_Improved,Damage_Yes,Damage_No,Dreason_Crop_disease,Dreason_Frost,Dreason_Floods,Dreason_Locust,Dreason_Insects,Dreason_Toolittle_rain,Dreason_Toomuch_rain,Dreason_Wild_animals,Dreason_Birds,Dreason_Hail,Dreason_Weeds,Dreason_ShortageSeed,Dreason_DepletionSoil,Dreason_Security,Dreason_UseBadCrop,Dmeasure_Yes,Dmeasure_No,Dmtype_Chemical,Dmtype_NonChemical,Dmtype_Both,Dmchem_Insecticide,Dmchem_Herbicide,Dmchem_Fungicide,Dmchem_Insectcide_Her,Dmchem_Insectcide_Fun,Dmchem_Herbicide_Fung,Dmchem_All,Fert_Yes,Fert_No,Ferttype_Natural,Ferttype_Chemical,Ferttype_Both,D22a_Urea,D22a_DAP,D22a_Urea_DAP,D22a_NPS,D22a_Urea_NPS,D22a_Mixed,D23_Manure,D23_Compost,D23_Organic,D23_Manure_Compost,D23_Manure_Organic,D23_Compost_Organic,D23_All,Fweight,Area,Production,Yield
33,2,2005,29.63582494,33.13238293,30.66187186,45.49515497,1.052564103,34.86208168,1.0,868.0,1.0,868.0,633.0,234.0,28.0,8.0,10.0,0.0,135.0,231.0,4.0,3.0,2.0,140.0,18.0,5.0,38.0,0.0,11.0,850.0,15.0,20.0,769.0,61.0,21.0,54.0,1.0,1.0,0.0,0.0,0.0,646.0,223.0,247.0,202.0,194.0,49.0,134.0,212.0,0.0,0.0,0.0,244.0,14.0,0.0,151.0,0.0,0.0,0.0,327370.30999999994,38502.41,653694.19,16.98
34,3,2005,46.27087282,25.04826606,6.332163433,54.70563363,1.700068013,13.11342857,0.0,178.0,0.0,178.0,56.0,121.0,9.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,3.0,12.0,3.0,2.0,6.0,0.0,5.0,163.0,15.0,0.0,163.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,137.0,41.0,17.0,96.0,23.0,40.0,4.0,74.0,0.0,0.0,0.0,11.0,4.0,0.0,24.0,0.0,0.0,0.0,49672.55,2943.22,75449.48444444446,25.63501350372873
35,4,2005,68.40035125,37.33466432,23.2408268,47.74326823,5.202990657,13.24485757,1.0,532.0,1.0,532.0,172.0,358.0,20.0,0.0,2.0,0.0,15.0,9.0,38.0,3.0,0.0,0.0,71.0,0.0,9.0,0.0,5.0,521.0,9.0,18.0,398.0,105.0,2.0,115.0,0.0,0.0,4.0,0.0,0.0,213.0,320.0,70.0,130.0,12.0,15.0,30.0,90.0,0.0,0.0,0.0,66.0,8.0,0.0,4.0,2.0,0.0,0.0,116347.19,67127.58,2240988.0,33.38
36,1,2006,101.4022623,29.01529654,18.63090629,53.60738582,1.9646007509999999,14.59931436,1.0,767.0,0.0,768.0,203.0,565.0,3.0,2.0,0.0,0.0,29.0,80.0,12.0,7.0,0.0,7.0,50.0,1.0,6.0,1.0,0.0,724.0,43.0,5.0,600.0,119.0,3.0,114.0,0.0,11.0,0.0,0.0,0.0,506.0,262.0,233.0,229.0,42.0,13.0,129.0,119.0,0.0,0.0,0.0,256.0,3.0,0.0,17.0,0.0,0.0,0.0,226391.62,63404.65,1861276.44,29.36
37,2,2006,71.93954663,32.21692458,26.75039097,45.49515497,1.9646007509999999,34.86208168,3.0,811.0,0.0,814.0,273.0,539.0,13.0,16.0,3.0,1.0,4.0,142.0,0.0,1.0,10.0,42.0,25.0,1.0,6.0,0.0,1.0,774.0,40.0,52.0,663.0,59.0,2.0,62.0,3.0,27.0,18.0,0.0,0.0,651.0,163.0,264.0,214.0,173.0,97.0,107.0,173.0,0.0,0.0,0.0,249.0,47.0,0.0,136.0,7.0,0.0,0.0,303554.76,39958.08,688003.57,17.22
38,3,2006,50.25608211,24.64826606,6.501394202,56.97691477,4.3731432439999995,13.33047793,1.0,70.0,0.0,71.0,52.0,19.0,0.0,3.0,0.0,0.0,1.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,14.0,0.0,56.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,28.0,15.0,20.0,8.0,15.0,5.0,7.0,0.0,0.0,0.0,12.0,3.0,0.0,8.0,0.0,0.0,0.0,21284.959999999995,2258.15,30579.07,13.54
39,4,2006,60.20630923,38.87872444,26.82466978,47.74326823,10.64546436,18.27193189,1.0,801.0,4.0,798.0,271.0,528.0,12.0,7.0,3.0,0.0,15.0,92.0,5.0,11.0,1.0,16.0,89.0,1.0,9.0,0.0,1.0,767.0,33.0,48.0,512.0,207.0,1.0,248.0,0.0,14.0,0.0,2.0,0.0,311.0,491.0,138.0,138.0,37.0,16.0,52.0,104.0,0.0,0.0,0.0,144.0,19.0,0.0,8.0,0.0,0.0,0.0,130107.99,80494.09,2345193.16,29.13
40,1,2007,91.27184559,28.03589744,17.13901449,57.66094193,3.617143842,8.67378227,5.0,869.0,1.0,873.0,183.0,686.0,7.0,1.0,5.0,0.0,7.0,4.0,37.0,2.0,1.0,11.0,77.0,3.0,13.0,1.0,0.0,860.0,7.0,8.0,666.0,186.0,3.0,191.0,0.0,0.0,0.0,0.0,0.0,529.0,345.0,282.0,211.0,36.0,29.0,116.0,104.0,0.0,0.0,0.0,310.0,3.0,1.0,2.0,0.0,0.0,0.0,277530.91000000003,62121.11,2043256.38,32.89
41,2,2007,53.41741515,34.26575209,27.07739118,45.49515497,3.617143842,34.86208168,0.0,1147.0,1.0,1146.0,372.0,774.0,28.0,0.0,5.0,0.0,77.0,26.0,25.0,3.0,11.0,50.0,71.0,0.0,58.0,0.0,0.0,1122.0,24.0,20.0,988.0,114.0,25.0,95.0,15.0,2.0,0.0,0.0,0.0,890.0,257.0,296.0,432.0,162.0,160.0,121.0,314.0,0.0,0.0,0.0,312.0,13.0,0.0,133.0,0.0,0.0,0.0,356728.62,46653.88,920107.59,19.72
42,3,2007,39.08455944,30.29272191,16.53046544,53.52760646,7.8508858560000006,17.02490391,3.0,171.0,0.0,174.0,34.0,140.0,2.0,1.0,1.0,0.0,1.0,21.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,173.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,103.0,71.0,14.0,67.0,22.0,38.0,8.0,43.0,0.0,0.0,0.0,26.0,1.0,0.0,9.0,0.0,0.0,0.0,44143.21,4780.3,80452.53,16.83
