,A,B,C,D,E,F,G,H,I,J
42,0.842614907259322,0.5130466111191762,-0.22864949463687245,-0.07414433301021914,-0.2784692050873713,0.4639466211305423,0.6463814547576487,0.2642962936166522,-0.3503092732970617,0.31741236602076567
43,-0.989520009172812,0.9183622796212936,0.3729501275210651,0.4772849187993538,0.2256570756744728,0.1409646994167625,0.03666530940316658,0.029328937226735723,-0.09475748385118463,0.0815715906580361
44,1.0480754245065025,0.44778903761865657,-0.44527647037478535,0.16791147547411867,-0.31235585421584106,-0.24356227140125009,0.09820914812850932,0.5634235736964066,-0.016188396038562623,-0.061558516572683526
45,1.233681620763888,0.09950195567660629,-0.6615579716707709,0.2781581361172748,0.5974752432467195,-0.42123129915221114,-0.0874843614509955,0.05200139079790862,0.15391846074219317,0.005458473811952595
46,-0.08117607158144935,0.46771101941017124,0.018031703657074506,-0.5685590131236308,0.16261541438986502,0.055598153445486555,-0.4103259521102158,-0.3042247620577422,0.0555537115145841,-0.0686455143487638
47,-0.6197992219722065,-0.7405021740739165,-0.19697212088814522,0.01236064200394182,0.10240936106969283,0.4145981449391572,0.12924865641409503,-0.09081997136632626,0.0039046548402454128,0.05314778110619724
48,1.3642795647770922,0.7204429431291328,-0.7304323567636444,0.17643252155796627,1.2139269574707612,-0.028526356488606092,0.4252738911940816,0.09260989039492107,0.6426805388761448,0.25695009228331595
49,0.5827921567617425,-0.5287690643818921,-0.309997766224201,-0.6076792926063103,-0.16658546723630238,0.48556392660168607,0.2406079338929147,0.06155067167808517,-0.21910682614035715,0.20228260556989183
50,0.3220909061573511,-0.6619885020784139,-0.6535033850128549,-0.2870063262142985,0.394270982261495,0.2773605278139926,-0.12875580763303732,-0.03924933766347849,0.010710339155007178,-0.14007312749428724
51,-0.47000051294537415,-0.56751479583082,0.2726104401106385,-0.16390921940583514,0.01537995763534076,-0.44149700310253176,0.29105941776574656,-0.19079543009905953,0.17012716542719264,0.16196548442904365
52,-0.667776758938124,-0.7820142987546072,-0.16001054614248425,0.296966475399767,0.07464299653187893,0.288958475780474,-0.09019814242874034,0.03541767854727216,-0.13215337585822184,-0.056345552811364774
53,-0.6702770066347272,0.5917099542802875,0.17196947227134482,-0.2891274009608684,-0.02595135094715691,-0.03635435054035555,-0.06083691124314619,-0.03586543433226678,0.06696607327278169,-0.14406333625180437
54,-0.5227490242852266,0.4760546895712148,0.07883100493312348,-0.04425278875122198,-0.0005386954772960451,-0.09897019018251664,0.5153103748833241,-0.22875789930628554,0.0826246999027689,0.12739007949804435
55,-0.23083009245686406,-0.8171158745346808,0.27346600890248757,-0.5766912989050661,-0.13973927629474986,-0.19402614306779173,0.1327026989562314,0.02920842396845447,0.22256977054054175,0.2847317076606938
56,1.1086559400208797,-0.4290606259490318,0.6020981554900642,0.06626741386158783,0.1297930983921324,-0.21741857507012,-0.031308964678577196,-0.2576619302185295,-0.2204529585748597,-0.05171485840362891
57,-0.03496951382078605,0.3594184476948899,0.1213903970272346,-0.6531708775169228,-0.025599554576643854,0.11075402164909384,-0.7391180169496101,-0.421195038687486,-0.1925012637143201,0.04522792397811169
58,0.44810819874415087,-0.3680658217457877,-0.6441253699415393,-0.4098359984575971,0.2417233939324618,0.36285002274012296,0.08969513078389568,-0.09574110932114657,0.0901084683806676,-0.13839753707125216
59,0.3640557730498274,0.5703923899551095,-0.3007337364204041,0.0191361347649561,-0.13595845053237068,-0.12777753313506138,0.6990617417347348,0.02226980629876275,0.26345534094197554,-0.0032159668858220913
